YEAR BUILT,TEST,NEIGHBORHOOD
1975,173298644,UPPER EAST SIDE (59-79)  
1989,147000000,KIPS BAY                 
2009,100471452,MIDTOWN WEST             
2009,91541053,MIDTOWN WEST             
1931,77500000,UPPER EAST SIDE (59-79)  
1927,70000000,UPPER EAST SIDE (59-79)  
1928,67500000,UPPER EAST SIDE (59-79)  
2009,56079298,MIDTOWN WEST             
2009,55559311,MIDTOWN WEST             
2009,55498125,MIDTOWN WEST             
2009,52952500,MIDTOWN WEST             
2009,52952500,MIDTOWN WEST             
2009,50916000,MIDTOWN WEST             
1900,48726000,SOHO                     
2005,48000000,UPPER WEST SIDE (59-79)  
2009,47367491,MIDTOWN WEST             
2009,47366989,MIDTOWN WEST             
1926,42000000,WASHINGTON HEIGHTS LOWER 
1929,40730000,CHELSEA                  
1962,38100000,MIDTOWN WEST             
1925,35000000,UPPER EAST SIDE (79-96)  
2009,34000000,MIDTOWN WEST             
2009,32571705,MIDTOWN WEST             
1929,31311187,CHELSEA                  
1925,30900000,UPPER EAST SIDE (79-96)  
2009,30683372,MIDTOWN WEST             
2009,30551000,MIDTOWN WEST             
1910,30500000,CHELSEA                  
2009,30449175,MIDTOWN WEST             
2009,30042375,MIDTOWN WEST             
2005,30002000,UPPER WEST SIDE (59-79)  
2005,30000000,UPPER WEST SIDE (59-79)  
2009,29533450,MIDTOWN WEST             
1906,29500000,TRIBECA                  
2009,29329100,MIDTOWN WEST             
1901,28001875,LITTLE ITALY             
2009,27127160,MIDTOWN WEST             
1930,26400000,UPPER WEST SIDE (59-79)  
2005,25925000,UPPER WEST SIDE (59-79)  
1900,25250000,SOHO                     
2009,24843664,MIDTOWN WEST             
2009,22927037,MIDTOWN WEST             
2012,22705312,UPPER EAST SIDE (79-96)  
2009,22405000,MIDTOWN WEST             
2009,22150437,MIDTOWN WEST             
1913,22000000,UPPER EAST SIDE (59-79)  
2009,21895875,MIDTOWN WEST             
2009,21386750,MIDTOWN WEST             
1900,21000000,SOHO                     
2009,20877625,MIDTOWN WEST             
1930,20500000,UPPER EAST SIDE (79-96)  
2009,20368500,MIDTOWN WEST             
1929,20250000,UPPER EAST SIDE (79-96)  
2012,20110437,MIDTOWN WEST             
2008,19474225,MIDTOWN EAST             
2009,19350250,MIDTOWN WEST             
1928,19350000,UPPER EAST SIDE (59-79)  
1913,19346750,UPPER EAST SIDE (59-79)  
1985,19346750,UPPER EAST SIDE (59-79)  
2009,19146600,MIDTOWN WEST             
1913,19000000,UPPER EAST SIDE (59-79)  
1927,18500000,UPPER EAST SIDE (59-79)  
2009,17822875,MIDTOWN WEST             
1913,17819375,UPPER EAST SIDE (59-79)  
1911,17500000,TRIBECA                  
2009,17313750,MIDTOWN WEST             
2001,17250000,MIDTOWN CBD              
1929,17156250,CHELSEA                  
1910,17100000,UPPER WEST SIDE (59-79)  
1913,17055687,UPPER EAST SIDE (59-79)  
1913,16995000,UPPER WEST SIDE (79-96)  
2007,16630890,FINANCIAL                
1924,16550000,UPPER EAST SIDE (59-79)  
1912,16500000,UPPER EAST SIDE (79-96)  
1955,16220300,MIDTOWN WEST             
1929,16012500,CHELSEA                  
1929,16012500,CHELSEA                  
2007,16000000,FLATIRON                 
1907,16000000,UPPER WEST SIDE (59-79)  
1885,15930000,SOHO                     
2004,15900000,TRIBECA                  
1913,15884700,UPPER EAST SIDE (59-79)  
1913,15681050,UPPER EAST SIDE (59-79)  
1915,15500000,UPPER EAST SIDE (79-96)  
2005,15500000,UPPER WEST SIDE (59-79)  
2005,15463500,UPPER WEST SIDE (59-79)  
1914,15273750,UPPER EAST SIDE (59-79)  
2008,15019187,FLATIRON                 
2008,14927000,FLATIRON                 
1913,14815537,UPPER EAST SIDE (59-79)  
1910,14790000,UPPER WEST SIDE (59-79)  
2011,14764625,UPPER EAST SIDE (59-79)  
1920,14650000,SOHO                     
1940,14510062,UPPER EAST SIDE (59-79)  
2008,14500000,FLATIRON                 
1931,14500000,MIDTOWN EAST             
1927,14500000,UPPER EAST SIDE (59-79)  
1929,14500000,UPPER EAST SIDE (79-96)  
1913,14255500,UPPER EAST SIDE (59-79)  
2008,14250000,FLATIRON                 
2005,14250000,UPPER WEST SIDE (59-79)  
2007,14127750,GREENWICH VILLAGE-WEST   
2008,14000000,FLATIRON                 
1940,14000000,MIDTOWN WEST             
2011,13746375,UPPER EAST SIDE (59-79)  
1930,13700000,UPPER EAST SIDE (59-79)  
1940,13695462,UPPER EAST SIDE (59-79)  
2007,13500000,GREENWICH VILLAGE-CENTRAL
1924,13500000,UPPER EAST SIDE (59-79)  
1931,13400000,UPPER EAST SIDE (59-79)  
2008,13370906,FLATIRON                 
1928,13250000,UPPER EAST SIDE (59-79)  
2012,13250000,UPPER EAST SIDE (79-96)  
2008,13237250,FLATIRON                 
2008,13237250,UPPER WEST SIDE (59-79)  
2005,13075000,UPPER WEST SIDE (59-79)  
2008,13000000,FLATIRON                 
1928,13000000,UPPER EAST SIDE (59-79)  
2008,12982687,FLATIRON                 
1940,12918589,UPPER EAST SIDE (59-79)  
1940,12791310,UPPER EAST SIDE (59-79)  
1930,12750000,UPPER WEST SIDE (79-96)  
1931,12728125,CIVIC CENTER             
1926,12700000,UPPER EAST SIDE (79-96)  
1972,12539270,HARLEM-EAST              
2012,12524475,MIDTOWN WEST             
1930,12500000,UPPER WEST SIDE (59-79)  
2005,12390000,SOHO                     
1963,12288000,MIDTOWN WEST             
1937,12200000,UPPER EAST SIDE (59-79)  
1927,12125000,UPPER EAST SIDE (79-96)  
2008,12117175,FLATIRON                 
1929,12100000,CHELSEA                  
2012,12000000,MIDTOWN WEST             
2011,11913525,UPPER EAST SIDE (59-79)  
1938,11900000,MIDTOWN WEST             
2008,11750000,FLATIRON                 
2008,11750000,FLATIRON                 
2006,11650000,TRIBECA                  
1928,11600000,UPPER EAST SIDE (59-79)  
1927,11515000,UPPER EAST SIDE (59-79)  
1909,11506000,UPPER WEST SIDE (59-79)  
1940,11494022,UPPER EAST SIDE (59-79)  
1929,11437500,CHELSEA                  
2008,11325000,FLATIRON                 
1966,11300000,UPPER EAST SIDE (79-96)  
2005,11250000,SOHO                     
1910,11250000,UPPER WEST SIDE (59-79)  
2006,11000000,TRIBECA                  
1938,11000000,UPPER EAST SIDE (59-79)  
2008,11000000,UPPER WEST SIDE (59-79)  
1930,11000000,UPPER WEST SIDE (79-96)  
1955,10766000,MIDTOWN WEST             
1929,10750000,CHELSEA                  
1931,10750000,UPPER WEST SIDE (59-79)  
1966,10620000,UPPER EAST SIDE (79-96)  
2008,10617801,FLATIRON                 
1981,10600000,UPPER EAST SIDE (79-96)  
2005,10600000,UPPER WEST SIDE (59-79)  
2012,10564343,MIDTOWN WEST             
1900,10500000,FLATIRON                 
1910,10500000,SOHO                     
1914,10500000,UPPER EAST SIDE (59-79)  
1926,10500000,UPPER EAST SIDE (79-96)  
1905,10400000,FLATIRON                 
1940,10386150,UPPER EAST SIDE (59-79)  
1900,10350000,SOHO                     
1930,10300000,UPPER WEST SIDE (79-96)  
2012,10250000,MIDTOWN WEST             
1931,10250000,UPPER EAST SIDE (79-96)  
1930,10230000,UPPER WEST SIDE (59-79)  
2008,10182500,FLATIRON                 
1940,10177408,UPPER EAST SIDE (59-79)  
1929,10150000,SOHO                     
1908,10131587,UPPER WEST SIDE (59-79)  
2009,10033262,MIDTOWN WEST             
1955,10000000,GREENWICH VILLAGE-CENTRAL
2006,10000000,TRIBECA                  
1894,10000000,TRIBECA                  
1928,10000000,UPPER EAST SIDE (59-79)  
1925,10000000,UPPER EAST SIDE (59-79)  
1924,10000000,UPPER EAST SIDE (96-110) 
1986,10000000,UPPER WEST SIDE (79-96)  
1940,9766303,UPPER EAST SIDE (59-79)  
2005,9750000,UPPER WEST SIDE (59-79)  
2012,9737056,MIDTOWN WEST             
1941,9687600,UPPER EAST SIDE (59-79)  
2012,9673375,MIDTOWN WEST             
2003,9650000,SOHO                     
1922,9650000,UPPER WEST SIDE (96-116) 
1941,9520637,UPPER EAST SIDE (59-79)  
1950,9512500,UPPER WEST SIDE (59-79)  
1910,9500000,SOHO                     
1913,9500000,TRIBECA                  
1925,9500000,UPPER EAST SIDE (59-79)  
1991,9500000,UPPER EAST SIDE (59-79)  
1926,9500000,UPPER EAST SIDE (79-96)  
2005,9500000,UPPER WEST SIDE (59-79)  
2005,9500000,UPPER WEST SIDE (59-79)  
1914,9466161,UPPER EAST SIDE (59-79)  
2008,9455043,MIDTOWN EAST             
1925,9450000,UPPER EAST SIDE (79-96)  
2002,9400000,GREENWICH VILLAGE-WEST   
1941,9400000,UPPER EAST SIDE (59-79)  
2007,9388888,CHELSEA                  
2006,9380000,UPPER EAST SIDE (59-79)  
2008,9350000,FLATIRON                 
2009,9350000,UPPER WEST SIDE (59-79)  
2005,9325000,UPPER WEST SIDE (59-79)  
1927,9266075,UPPER EAST SIDE (79-96)  
2007,9250000,TRIBECA                  
1931,9250000,UPPER EAST SIDE (59-79)  
1940,9206267,UPPER EAST SIDE (59-79)  
1940,9201427,UPPER EAST SIDE (59-79)  
1960,9150000,UPPER EAST SIDE (59-79)  
1927,9077079,UPPER EAST SIDE (79-96)  
1941,9062425,UPPER EAST SIDE (59-79)  
1955,9050000,MIDTOWN WEST             
1927,9039037,UPPER EAST SIDE (79-96)  
1941,9000000,GREENWICH VILLAGE-WEST   
1930,9000000,GREENWICH VILLAGE-WEST   
1913,9000000,UPPER EAST SIDE (59-79)  
1941,9000000,UPPER EAST SIDE (59-79)  
1925,9000000,WASHINGTON HEIGHTS LOWER 
1925,9000000,WASHINGTON HEIGHTS LOWER 
1941,8909687,UPPER EAST SIDE (59-79)  
1925,8900000,UPPER EAST SIDE (79-96)  
1932,8895000,UPPER WEST SIDE (59-79)  
1930,8865000,UPPER WEST SIDE (79-96)  
2008,8825000,UPPER WEST SIDE (59-79)  
2009,8819873,MIDTOWN WEST             
2012,8807862,UPPER EAST SIDE (79-96)  
1908,8797500,UPPER EAST SIDE (79-96)  
1941,8756950,UPPER EAST SIDE (59-79)  
1914,8750000,UPPER EAST SIDE (59-79)  
1912,8750000,UPPER EAST SIDE (79-96)  
1927,8725000,UPPER EAST SIDE (59-79)  
1989,8700000,UPPER EAST SIDE (59-79)  
1940,8693834,UPPER EAST SIDE (59-79)  
1941,8655125,UPPER EAST SIDE (59-79)  
1940,8655125,UPPER EAST SIDE (59-79)  
1907,8575000,UPPER WEST SIDE (59-79)  
1931,8500000,UPPER EAST SIDE (59-79)  
1913,8495000,UPPER EAST SIDE (59-79)  
2008,8466003,MIDTOWN EAST             
1900,8425000,FLATIRON                 
2012,8400562,MIDTOWN WEST             
1924,8350000,UPPER EAST SIDE (59-79)  
2012,8349650,CHELSEA                  
1900,8349650,TRIBECA                  
1941,8349650,UPPER EAST SIDE (59-79)  
2012,8298737,MIDTOWN WEST             
2008,8250000,FLATIRON                 
1913,8250000,TRIBECA                  
1973,8250000,UPPER EAST SIDE (79-96)  
2011,8247825,UPPER EAST SIDE (59-79)  
2012,8196912,MIDTOWN WEST             
1902,8169375,UPPER WEST SIDE (59-79)  
1910,8160000,UPPER WEST SIDE (59-79)  
1913,8146000,UPPER EAST SIDE (59-79)  
1940,8146000,UPPER EAST SIDE (59-79)  
2007,8134820,FINANCIAL                
2007,8125000,CHELSEA                  
2006,8100000,UPPER WEST SIDE (59-79)  
2012,8095087,MIDTOWN WEST             
2009,8073131,MIDTOWN WEST             
1912,8000000,SOHO                     
1925,8000000,UPPER EAST SIDE (79-96)  
1908,8000000,UPPER WEST SIDE (59-79)  
2009,7945850,MIDTOWN WEST             
1908,7905000,UPPER EAST SIDE (79-96)  
1900,7900000,FLATIRON                 
1926,7900000,UPPER EAST SIDE (79-96)  
2012,7850000,MIDTOWN WEST             
1941,7820718,UPPER EAST SIDE (59-79)  
1917,7800000,UPPER EAST SIDE (59-79)  
1925,7775000,UPPER EAST SIDE (59-79)  
1986,7764156,UPPER WEST SIDE (79-96)  
1981,7757500,UPPER EAST SIDE (79-96)  
2009,7750000,UPPER WEST SIDE (59-79)  
1913,7744000,TRIBECA                  
2011,7721723,UPPER EAST SIDE (59-79)  
1920,7636875,CHINATOWN                
2011,7618698,UPPER EAST SIDE (59-79)  
1900,7600000,FLATIRON                 
1905,7600000,GREENWICH VILLAGE-CENTRAL
1926,7600000,MIDTOWN EAST             
1930,7600000,UPPER WEST SIDE (59-79)  
1986,7596145,UPPER WEST SIDE (79-96)  
2009,7589462,MIDTOWN WEST             
1950,7575000,UPPER EAST SIDE (59-79)  
1927,7568437,UPPER EAST SIDE (79-96)  
1927,7550000,UPPER EAST SIDE (59-79)  
2008,7533627,MIDTOWN EAST             
2013,7514685,MURRAY HILL              
2002,7500000,MIDTOWN EAST             
2005,7500000,SOHO                     
1915,7500000,SOHO                     
1927,7500000,UPPER EAST SIDE (59-79)  
2009,7487637,MIDTOWN WEST             
1979,7458681,UPPER WEST SIDE (59-79)  
1927,7450000,UPPER EAST SIDE (79-96)  
1931,7418969,CIVIC CENTER             
1905,7400000,UPPER WEST SIDE (79-96)  
1987,7380000,UPPER EAST SIDE (79-96)  
1930,7375000,UPPER EAST SIDE (79-96)  
1914,7356856,UPPER EAST SIDE (59-79)  
1905,7350000,GREENWICH VILLAGE-CENTRAL
1931,7350000,MIDTOWN EAST             
1940,7350000,UPPER EAST SIDE (59-79)  
1913,7331400,UPPER EAST SIDE (59-79)  
1908,7300000,UPPER EAST SIDE (59-79)  
1927,7300000,UPPER EAST SIDE (59-79)  
1951,7280487,UPPER EAST SIDE (59-79)  
1929,7250000,UPPER EAST SIDE (79-96)  
1917,7229575,MURRAY HILL              
1900,7200000,SOHO                     
1920,7200000,SOUTHBRIDGE              
1927,7200000,UPPER EAST SIDE (59-79)  
1924,7194955,CIVIC CENTER             
2011,7122658,UPPER EAST SIDE (59-79)  
1937,7117500,UPPER EAST SIDE (59-79)  
1927,7100000,UPPER WEST SIDE (79-96)  
1913,7050000,UPPER EAST SIDE (59-79)  
1951,7025925,UPPER EAST SIDE (59-79)  
1931,7000000,CHELSEA                  
1925,7000000,UPPER EAST SIDE (79-96)  
1912,7000000,UPPER WEST SIDE (96-116) 
1925,6950000,UPPER EAST SIDE (59-79)  
2008,6924100,MIDTOWN EAST             
2012,6924100,MIDTOWN WEST             
1983,6900000,MIDTOWN EAST             
1927,6900000,MIDTOWN WEST             
1963,6900000,UPPER EAST SIDE (59-79)  
1929,6850000,FASHION                  
1928,6850000,UPPER EAST SIDE (59-79)  
1917,6800000,UPPER EAST SIDE (59-79)  
1972,6750000,UPPER EAST SIDE (59-79)  
1929,6750000,UPPER EAST SIDE (79-96)  
1926,6715358,UPPER WEST SIDE (79-96)  
2010,6700000,TRIBECA                  
1914,6700000,UPPER EAST SIDE (59-79)  
1984,6700000,UPPER EAST SIDE (79-96)  
1900,6669537,TRIBECA                  
1931,6666482,CIVIC CENTER             
1951,6593168,UPPER EAST SIDE (59-79)  
2012,6557530,MIDTOWN WEST             
2008,6516800,FLATIRON                 
1914,6516800,UPPER EAST SIDE (59-79)  
1908,6510000,UPPER WEST SIDE (59-79)  
1920,6500000,CHELSEA                  
1915,6500000,UPPER EAST SIDE (59-79)  
1941,6500000,UPPER EAST SIDE (59-79)  
1927,6500000,UPPER EAST SIDE (79-96)  
1930,6500000,UPPER WEST SIDE (79-96)  
1912,6450000,UPPER EAST SIDE (59-79)  
1951,6414975,UPPER EAST SIDE (59-79)  
1927,6414975,UPPER EAST SIDE (79-96)  
2010,6364062,FASHION                  
1900,6364062,TRIBECA                  
2012,6353880,MIDTOWN WEST             
1927,6350000,MIDTOWN WEST             
1972,6350000,UPPER EAST SIDE (59-79)  
1927,6350000,UPPER EAST SIDE (59-79)  
1910,6330000,UPPER WEST SIDE (79-96)  
1931,6313150,CLINTON                  
1900,6300000,SOHO                     
1910,6300000,UPPER EAST SIDE (59-79)  
1987,6300000,UPPER EAST SIDE (59-79)  
1907,6300000,UPPER WEST SIDE (59-79)  
1908,6300000,UPPER WEST SIDE (59-79)  
1930,6295000,UPPER WEST SIDE (59-79)  
2012,6292785,MIDTOWN WEST             
2006,6250000,TRIBECA                  
1951,6236781,UPPER EAST SIDE (59-79)  
1927,6227006,UPPER EAST SIDE (79-96)  
1915,6225000,UPPER EAST SIDE (79-96)  
1951,6211325,UPPER EAST SIDE (59-79)  
1913,6200000,TRIBECA                  
1929,6200000,UPPER EAST SIDE (59-79)  
1926,6160000,UPPER EAST SIDE (79-96)  
1927,6154565,MIDTOWN EAST             
2006,6150000,TRIBECA                  
1922,6150000,UPPER EAST SIDE (79-96)  
1900,6125000,FLATIRON                 
1924,6124774,CIVIC CENTER             
2012,6109625,CHELSEA                  
1920,6109500,CHINATOWN                
1931,6109500,CLINTON                  
2008,6109500,FLATIRON                 
1900,6109500,TRIBECA                  
1926,6104408,UPPER WEST SIDE (79-96)  
1963,6100000,MIDTOWN WEST             
2006,6100000,TRIBECA                  
1929,6100000,UPPER WEST SIDE (59-79)  
1930,6100000,UPPER WEST SIDE (59-79)  
1920,6090000,EAST VILLAGE             
2012,6089135,MIDTOWN WEST             
2009,6063678,MIDTOWN WEST             
1951,6058587,UPPER EAST SIDE (59-79)  
2012,6007675,MANHATTAN VALLEY         
1938,6000000,MIDTOWN WEST             
2006,6000000,TRIBECA                  
1925,6000000,UPPER EAST SIDE (79-96)  
1915,6000000,UPPER EAST SIDE (79-96)  
1929,6000000,UPPER EAST SIDE (79-96)  
1969,6000000,UPPER WEST SIDE (59-79)  
1900,5956762,TRIBECA                  
1900,5950000,FLATIRON                 
1930,5910000,TRIBECA                  
1931,5905850,CLINTON                  
1931,5900000,MIDTOWN WEST             
2007,5900000,UPPER EAST SIDE (79-96)  
1920,5880393,GREENWICH VILLAGE-WEST   
1900,5854937,TRIBECA                  
1907,5850000,UPPER WEST SIDE (59-79)  
2012,5844755,MIDTOWN WEST             
2011,5829481,UPPER EAST SIDE (59-79)  
1942,5825000,UPPER EAST SIDE (59-79)  
1930,5825000,UPPER EAST SIDE (79-96)  
1900,5800000,FLATIRON                 
1927,5800000,MIDTOWN WEST             
1900,5800000,SOHO                     
1917,5800000,UPPER EAST SIDE (59-79)  
1955,5780000,MIDTOWN WEST             
1900,5753112,TRIBECA                  
2012,5750000,MIDTOWN WEST             
1987,5750000,UPPER EAST SIDE (59-79)  
1926,5750000,UPPER EAST SIDE (96-110) 
2009,5739000,UPPER WEST SIDE (59-79)  
2012,5722565,MIDTOWN WEST             
1929,5718750,CHELSEA                  
1900,5716000,GREENWICH VILLAGE-CENTRAL
1975,5700000,MIDTOWN CBD              
1940,5700000,MIDTOWN WEST             
1959,5700000,UPPER EAST SIDE (59-79)  
1916,5700000,UPPER EAST SIDE (79-96)  
1929,5700000,UPPER EAST SIDE (79-96)  
2012,5671652,MIDTOWN WEST             
1912,5650000,GREENWICH VILLAGE-CENTRAL
1921,5650000,UPPER EAST SIDE (79-96)  
1930,5650000,UPPER EAST SIDE (79-96)  
1924,5630923,CIVIC CENTER             
2006,5625000,UPPER WEST SIDE (96-116) 
2012,5610557,MIDTOWN WEST             
2007,5600000,CHELSEA                  
1928,5600000,GRAMERCY                 
1920,5600000,GRAMERCY                 
1903,5600000,GREENWICH VILLAGE-CENTRAL
1930,5600000,UPPER EAST SIDE (79-96)  
1951,5580010,UPPER EAST SIDE (59-79)  
1903,5580000,GREENWICH VILLAGE-CENTRAL
2004,5575000,SOHO                     
2011,5558198,UPPER EAST SIDE (59-79)  
1963,5555000,UPPER EAST SIDE (59-79)  
2009,5552962,MIDTOWN WEST             
1900,5550000,CHELSEA                  
1915,5550000,CIVIC CENTER             
1999,5550000,UPPER EAST SIDE (59-79)  
1926,5524959,UPPER WEST SIDE (79-96)  
1906,5500000,FLATIRON                 
1963,5500000,GREENWICH VILLAGE-WEST   
2002,5500000,MIDTOWN EAST             
1923,5500000,UPPER EAST SIDE (59-79)  
1927,5500000,UPPER EAST SIDE (59-79)  
1929,5500000,UPPER WEST SIDE (59-79)  
1931,5498550,CLINTON                  
1941,5498550,UPPER EAST SIDE (59-79)  
1906,5450000,FLATIRON                 
2008,5450000,FLATIRON                 
1928,5450000,UPPER EAST SIDE (79-96)  
2012,5447627,GRAMERCY                 
1915,5425000,TRIBECA                  
1905,5419459,FLATIRON                 
2004,5410000,SOHO                     
1963,5400000,UPPER EAST SIDE (59-79)  
1987,5400000,UPPER EAST SIDE (59-79)  
1925,5400000,UPPER EAST SIDE (79-96)  
2007,5400000,UPPER EAST SIDE (79-96)  
1910,5400000,UPPER WEST SIDE (59-79)  
2008,5400000,UPPER WEST SIDE (59-79)  
1929,5375000,UPPER WEST SIDE (59-79)  
1915,5350000,UPPER WEST SIDE (79-96)  
1931,5345812,CLINTON                  
1920,5345812,GREENWICH VILLAGE-WEST   
1979,5345812,UPPER WEST SIDE (59-79)  
1931,5345000,UPPER WEST SIDE (59-79)  
2005,5337500,UPPER WEST SIDE (59-79)  
1912,5315000,FLATIRON                 
1900,5305000,GREENWICH VILLAGE-CENTRAL
2007,5300000,CHELSEA                  
1948,5300000,GRAMERCY                 
1926,5300000,UPPER EAST SIDE (59-79)  
1968,5300000,UPPER WEST SIDE (59-79)  
2008,5300000,UPPER WEST SIDE (59-79)  
2008,5300000,UPPER WEST SIDE (59-79)  
1905,5300000,UPPER WEST SIDE (79-96)  
1940,5300000,UPPER WEST SIDE (79-96)  
1937,5295000,UPPER EAST SIDE (79-96)  
2007,5284600,UPPER EAST SIDE (59-79)  
1963,5275000,UPPER EAST SIDE (79-96)  
1975,5250000,MIDTOWN CBD              
1915,5250000,SOHO                     
1925,5250000,UPPER EAST SIDE (79-96)  
1959,5225000,UPPER EAST SIDE (59-79)  
1940,5214800,UPPER EAST SIDE (59-79)  
2008,5200000,FLATIRON                 
1926,5200000,GREENWICH VILLAGE-CENTRAL
1931,5200000,MIDTOWN EAST             
1923,5200000,UPPER EAST SIDE (79-96)  
1979,5193075,UPPER WEST SIDE (59-79)  
1979,5193075,UPPER WEST SIDE (59-79)  
1985,5175000,UPPER EAST SIDE (59-79)  
1931,5150000,MIDTOWN EAST             
1913,5150000,TRIBECA                  
1930,5150000,UPPER EAST SIDE (79-96)  
1941,5142162,UPPER EAST SIDE (59-79)  
1914,5125000,GRAMERCY                 
1912,5100000,FASHION                  
1915,5100000,GREENWICH VILLAGE-WEST   
1900,5100000,MIDTOWN WEST             
1926,5100000,UPPER EAST SIDE (96-110) 
1907,5100000,UPPER WEST SIDE (59-79)  
1969,5100000,UPPER WEST SIDE (59-79)  
1940,5091250,UPPER EAST SIDE (59-79)  
1917,5075976,MURRAY HILL              
1987,5075000,UPPER EAST SIDE (79-96)  
1920,5065793,GREENWICH VILLAGE-WEST   
1926,5050000,UPPER EAST SIDE (59-79)  
1928,5050000,UPPER WEST SIDE (59-79)  
2009,5050000,UPPER WEST SIDE (59-79)  
1917,5040337,MURRAY HILL              
1900,5040337,TRIBECA                  
1912,5000000,FASHION                  
1912,5000000,FASHION                  
2004,5000000,MIDTOWN EAST             
2004,5000000,TRIBECA                  
1949,5000000,UPPER EAST SIDE (59-79)  
1924,5000000,UPPER EAST SIDE (59-79)  
1927,5000000,UPPER EAST SIDE (79-96)  
2007,5000000,UPPER EAST SIDE (79-96)  
1929,5000000,UPPER WEST SIDE (59-79)  
2006,5000000,UPPER WEST SIDE (59-79)  
1909,5000000,UPPER WEST SIDE (79-96)  
1907,4995000,GREENWICH VILLAGE-CENTRAL
1932,4995000,UPPER WEST SIDE (59-79)  
1927,4989425,UPPER EAST SIDE (79-96)  
1955,4987500,MIDTOWN WEST             
2009,4950000,EAST VILLAGE             
1973,4950000,MIDTOWN CBD              
1913,4930000,TRIBECA                  
2005,4925000,SOHO                     
2011,4925000,UPPER EAST SIDE (59-79)  
2007,4900000,GREENWICH VILLAGE-WEST   
1960,4900000,UPPER EAST SIDE (59-79)  
1960,4900000,UPPER EAST SIDE (79-96)  
1926,4900000,UPPER EAST SIDE (79-96)  
1915,4900000,UPPER EAST SIDE (79-96)  
1988,4900000,UPPER EAST SIDE (79-96)  
1979,4900000,UPPER WEST SIDE (59-79)  
1900,4895000,SOHO                     
2012,4887600,MIDTOWN WEST             
1927,4887600,UPPER EAST SIDE (79-96)  
1900,4875000,LITTLE ITALY             
1979,4873575,UPPER WEST SIDE (59-79)  
1900,4850000,MIDTOWN WEST             
2006,4850000,TRIBECA                  
1948,4850000,UPPER EAST SIDE (79-96)  
2007,4837500,FLATIRON                 
1979,4836687,UPPER WEST SIDE (59-79)  
1925,4825000,FASHION                  
1900,4800000,MIDTOWN WEST             
1951,4800000,UPPER EAST SIDE (59-79)  
2008,4785775,FLATIRON                 
1979,4785775,UPPER WEST SIDE (59-79)  
1908,4783331,UPPER WEST SIDE (59-79)  
1920,4780000,GREENWICH VILLAGE-CENTRAL
2008,4775000,CHELSEA                  
2007,4775000,CHELSEA                  
1985,4772750,MIDTOWN CBD              
1925,4765000,UPPER EAST SIDE (79-96)  
1927,4762500,UPPER EAST SIDE (59-79)  
1929,4760000,UPPER EAST SIDE (79-96)  
1902,4750000,UPPER WEST SIDE (59-79)  
1928,4735000,UPPER EAST SIDE (79-96)  
1930,4728750,UPPER EAST SIDE (79-96)  
1983,4725000,UPPER WEST SIDE (59-79)  
1924,4719589,CIVIC CENTER             
1900,4700000,FLATIRON                 
1900,4700000,SOHO                     
2005,4700000,SOHO                     
2005,4700000,SOHO                     
1960,4700000,UPPER EAST SIDE (59-79)  
1927,4700000,UPPER EAST SIDE (59-79)  
1900,4695000,CHELSEA                  
1900,4695000,CHELSEA                  
1930,4695000,UPPER EAST SIDE (59-79)  
1924,4663585,CIVIC CENTER             
1909,4650000,SOHO                     
1931,4650000,UPPER WEST SIDE (59-79)  
1926,4650000,UPPER WEST SIDE (79-96)  
1952,4646728,GREENWICH VILLAGE-CENTRAL
1930,4633038,UPPER WEST SIDE (79-96)  
1920,4625000,GREENWICH VILLAGE-WEST   
1900,4625000,TRIBECA                  
1967,4625000,UPPER EAST SIDE (79-96)  
1905,4606540,FLATIRON                 
1900,4600000,FLATIRON                 
1955,4600000,GREENWICH VILLAGE-CENTRAL
1920,4600000,GREENWICH VILLAGE-CENTRAL
1924,4600000,UPPER EAST SIDE (79-96)  
1924,4587500,UPPER WEST SIDE (79-96)  
1931,4582125,CLINTON                  
2012,4582125,MIDTOWN WEST             
2012,4582125,MIDTOWN WEST             
2009,4575424,MIDTOWN WEST             
2008,4551577,MIDTOWN EAST             
1932,4550000,UPPER WEST SIDE (59-79)  
2007,4549640,FLATIRON                 
1913,4545000,TRIBECA                  
2008,4531212,FLATIRON                 
1912,4525000,UPPER EAST SIDE (79-96)  
1959,4512500,UPPER EAST SIDE (59-79)  
1929,4510000,UPPER EAST SIDE (59-79)  
1900,4506000,SOHO                     
1900,4504125,SOHO                     
2003,4500000,FINANCIAL                
1900,4500000,FLATIRON                 
1928,4500000,GRAMERCY                 
1910,4500000,GREENWICH VILLAGE-CENTRAL
1939,4500000,GREENWICH VILLAGE-WEST   
1880,4500000,SOHO                     
1900,4500000,SOHO                     
1900,4500000,SOHO                     
1917,4500000,UPPER EAST SIDE (59-79)  
1948,4500000,UPPER EAST SIDE (59-79)  
1930,4500000,UPPER EAST SIDE (59-79)  
1910,4500000,UPPER EAST SIDE (59-79)  
2011,4500000,UPPER EAST SIDE (59-79)  
1927,4500000,UPPER EAST SIDE (79-96)  
1926,4500000,UPPER EAST SIDE (79-96)  
1983,4500000,UPPER WEST SIDE (59-79)  
1989,4500000,UPPER WEST SIDE (59-79)  
1987,4500000,UPPER WEST SIDE (59-79)  
1926,4500000,UPPER WEST SIDE (79-96)  
2006,4500000,UPPER WEST SIDE (96-116) 
